provider_id,provider_name,provider_type,tier,country,institutional_owner,homepage,catalog_url,search_url,api_docs_url,api_base_url,bulk_data_url,metadata_download_url,terms_url,rights_url,credential_required,api_key_required,pagination_method,rate_limit_if_known,bulk_access_available,commercial_reuse_notes,redistribution_notes,preferred_ingestion_method,verification_status
zenodo_platform,Zenodo (CERN/OpenAIRE open research repository),repository_platform,TIER3,Switzerland (CERN-hosted, EU-funded),CERN / OpenAIRE,https://zenodo.org,https://zenodo.org/search,https://zenodo.org/search,https://developers.zenodo.org,https://zenodo.org/api,TRUE (per-record),per-record,https://zenodo.org/policies/terms,per-record license field,FALSE,,,FALSE,TRUE,License is set per-record by the depositor (OpenITI releases are deposited here under open access terms),Always read the specific record's own license field - Zenodo itself imposes no blanket license,use_zenodo_REST_API_to_search_for_additional_Islamic-studies_datasets_beyond_OpenITI
wikidata,Wikidata,open_knowledge_base,TIER3,International (Wikimedia Foundation),Wikimedia Foundation,https://www.wikidata.org,https://www.wikidata.org,https://query.wikidata.org,https://www.wikidata.org/wiki/Wikidata:Data_access,https://query.wikidata.org/sparql,https://dumps.wikimedia.org/wikidatawiki/entities/,https://dumps.wikimedia.org,https://creativecommons.org/publicdomain/zero/1.0/,FALSE,FALSE,TRUE,,,CC0 - structured data is public domain,"Freely reusable; best used for the scholar/person authority registry (VIAF, ISNI, Library of Congress and other authority-ID cross-links)",SPARQL_query_for_persons_with_occupation_Islamic_scholar_or_instance_of_hadith_narrator_etc,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION - identity/endpoint from general knowledge, mark UNVERIFIED for specific query results
wikisource_ar,Arabic Wikisource,open_text_repository,TIER4,International (Wikimedia Foundation),Wikimedia Foundation,https://ar.wikisource.org,https://ar.wikisource.org,https://ar.wikisource.org,https://www.mediawiki.org/wiki/API:Main_page,https://ar.wikisource.org/w/api.php,https://dumps.wikimedia.org,https://dumps.wikimedia.org,Mixed: CC BY-SA for transcriptions plus underlying public-domain source texts,FALSE,FALSE,TRUE,,,Mostly reusable but verify per-page license template,Community-transcribed classical texts - useful HTML/wikitext source but needs quality/accuracy spot-checking against a critical edition,mediawiki_API_export_by_category,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION,
wikimedia_commons,Wikimedia Commons,open_media_repository,TIER4,International (Wikimedia Foundation),Wikimedia Foundation,https://commons.wikimedia.org,https://commons.wikimedia.org,https://commons.wikimedia.org,https://www.mediawiki.org/wiki/API:Main_page,https://commons.wikimedia.org/w/api.php,https://dumps.wikimedia.org,https://dumps.wikimedia.org,Per-file license tag (many PD or CC),FALSE,FALSE,TRUE,,,Manuscript folio images and public-domain artwork - verify per-file tag,Good source for cover/manuscript preview images with clear per-file licensing,mediawiki_API_search_by_category_e.g._Islamic_manuscripts,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION,
library_of_congress,Library of Congress,national_library,TIER2,USA,Library of Congress,https://www.loc.gov,https://www.loc.gov/collections/,https://www.loc.gov/search/,https://www.loc.gov/apis/,https://www.loc.gov (json suffix on search URLs),UNVERIFIED,https://www.loc.gov/legal/,per-item rights statement,FALSE,FALSE,TRUE,,,LoC generally applies per-item rights/access statements,Good for Arabic/Islamic manuscript metadata and some digitized items; verify per-item rights statement field,loc_gov_json_api_search_by_subject,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION,
british_library,British Library,national_library,TIER2,United Kingdom,British Library,https://www.bl.uk,https://www.bl.uk/collection-guides,https://www.bl.uk/catalogues-and-collections,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.bl.uk/help/legal-notices,per-item,UNVERIFIED,FALSE,,,UNVERIFIED,Also the co-founding partner of QDL (see qatar_digital_library) for Islamic manuscripts specifically,Significant Islamic/Arabic manuscript holdings; much of the digitized overlap is already exposed via QDL - deduplicate against QDL records before double-cataloging,cross_check_against_qdl_first_then_bl_own_digitised_manuscripts_site,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION
gallica_bnf,Gallica (Bibliothèque nationale de France),national_library,TIER2,France,Bibliothèque nationale de France,https://gallica.bnf.fr,https://gallica.bnf.fr,https://gallica.bnf.fr/services/engine/search/sru,https://api.bnf.fr,https://gallica.bnf.fr/services,UNVERIFIED,UNVERIFIED,https://gallica.bnf.fr/edit/und/conditions-dutilisation-des-contenus-de-gallica,per-item,FALSE,FALSE,,,TRUE,Public-domain materials generally reusable per Gallica's own reuse conditions page,Has an SRU API and IIIF manifests for many manuscripts (general BnF practice) - not independently re-verified for Arabic/Islamic holdings this session,SRU_API_search_plus_IIIF_manifest_pull,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION
princeton_islamic_mss,Princeton University Library - Islamic Manuscripts Collection,university_library,TIER2,USA,Princeton University,https://library.princeton.edu,https://dpul.princeton.edu,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,per-item,UNVERIFIED,FALSE,UNVERIFIED,,,Major US Islamic manuscripts holding commonly cited in digital-humanities literature,IIIF availability commonly associated with Princeton's digital library platform (DPUL) - not independently re-verified this session,IIIF_manifest_pull_pending_confirmation,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION,
aladhan_api,AlAdhan API (prayer times),utility_api_non_bibliographic,N/A,International,Islamic Network / Aladhan.com,https://aladhan.com,N/A,N/A,https://aladhan.com/prayer-times-api,https://api.aladhan.com,N/A,N/A,UNVERIFIED,per site,FALSE,FALSE,,,N/A,Not a book/text source - relevant only to the app's /daily prayer-times feature, not the library corpus,Out of scope for this library-acquisition mission except as a note for the /daily route,NOT_A_LIBRARY_SOURCE_route_to_/daily_feature_only
geonames_osm_nasa,GeoNames / OpenStreetMap / NASA Earthdata,utility_geospatial_apis_non_bibliographic,N/A,International,Respective open projects,https://www.geonames.org ; https://www.openstreetmap.org ; https://earthdata.nasa.gov,N/A,N/A,per-project,per-project,per-project,per-project,per-project (mostly open/ODbL/CC),per-project,FALSE,FALSE,,,TRUE,Standard open geodata licenses (varies by project),"Not book/text sources - relevant only if /seerah adds historical maps (e.g. Hijra route, campaign maps) as a later feature",NOT_A_LIBRARY_SOURCE_route_to_future_/seerah_maps_feature_only,NOTED_NOT_RESEARCHED_IN_DEPTH
internet_archive,Internet Archive,large_public_digital_archive,TIER_4,United States,Internet Archive,https://archive.org/,https://archive.org/advancedsearch.php,https://archive.org/services/search/v1/scrape,https://archive.org/developers/index-apis.html,https://archive.org/metadata/{identifier},,https://archive.org/services/search/v1/scrape,https://archive.org/about/terms.php,https://help.archive.org/help/rights/,FALSE,FALSE,cursor,honor 429/Retry-After,PARTIAL,item-level only,download availability is not a rights grant,metadata -> item manifest -> rights review,VERIFIED_2026-09-23
hathitrust_digital_library,HathiTrust Digital Library,academic_library_repository,TIER_2,United States / international,HathiTrust,https://www.hathitrust.org/,https://catalog.hathitrust.org/,https://catalog.hathitrust.org/Search/Home,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/bibliographic-api/,https://catalog.hathitrust.org/api/volumes/brief/{id_type}/{id_value}.json,https://www.hathitrust.org/member-libraries/resources-for-librarians/data-resources/hathifiles/,https://www.hathitrust.org/files/hathifiles/hathi_file_list.json,https://www.hathitrust.org/the-collection/terms-conditions/,https://www.hathitrust.org/the-collection/search-access/access-use-policy/,metadata no; research text yes,FALSE for metadata,Hathifiles/OAI-PMH,,TRUE metadata,metadata/content differ,Full View does not imply rehosting,Hathifiles/OAI first,VERIFIED_2026-09-23
google_books,Google Books and Google Books API,commercial_bibliographic_discovery,TIER_5,United States,Google,https://books.google.com/,https://books.google.com/,https://www.googleapis.com/books/v1/volumes?q={query},https://developers.google.com/books/docs/v1/using,https://www.googleapis.com/books/v1/volumes,,,https://developers.google.com/books/terms,https://developers.google.com/books/docs/v1/reference/volumes,bounded public search; key recommended,RECOMMENDED,startIndex/maxResults<=40,observed 429 shared quota,FALSE,no default local-content permission,accessInfo is not a licence,metadata enrichment/remote preview,VERIFIED_2026-09-23
worldcat_oclc,WorldCat / OCLC,bibliographic_union_catalog,TIER_5,United States / global,OCLC and member libraries,https://search.worldcat.org/,https://search.worldcat.org/,https://search.worldcat.org/,https://www.oclc.org/developer/api/oclc-apis/worldcat-search-api.en.html,https://developer.api.oclc.org/wcv2,,,https://www.oclc.org/developer/support/terms-and-conditions.en.html,https://www.oclc.org/en/worldcat/cooperative-quality/policy.html,TRUE,TRUE,credentialed API,,NOT_CLEARED,contract/policy governed,mass use needs permission,reconciliation/discovery unless licensed,VERIFIED_2026-09-23
