provider_id,provider_name,provider_type,tier,country,institutional_owner,homepage,catalog_url,search_url,api_docs_url,api_base_url,bulk_data_url,metadata_download_url,terms_url,rights_url,credential_required,api_key_required,bulk_access_available,commercial_reuse_notes,redistribution_notes,preferred_ingestion_method,verification_status
ia_mcgill_islamic_studies,McGill University Islamic Studies Library Collection (hosted on Internet Archive),university_library_collection,TIER2,Canada,McGill University,https://blogs.library.mcgill.ca/islamicstudieslibrary/,https://archive.org (search uploader/collection for McGill Islamic Studies),https://archive.org/advancedsearch.php,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://blogs.library.mcgill.ca/islamicstudieslibrary/,per-item on IA,FALSE,FALSE,TRUE,"Institutional collection of 395 manuscripts, lithographs and rare books in Arabic/Persian/Ottoman Turkish/Urdu (1488-2013 CE) per McGill library blog announcement",Announced as openly browsable/downloadable (PDF) via IA book reader - verify per-item terms before bulk mirroring,browse_ia_collection_then_bulk_export_matching_items,VERIFIED_2026-09-23
internet_archive,Internet Archive,large_public_archive,TIER4,USA,Internet Archive,https://archive.org,https://archive.org/advancedsearch.php,https://archive.org/services/search/v1/scrape,https://archive.org/developers/index-apis.html,https://archive.org/metadata/{identifier},PARTIAL_CURSOR_SEARCH,https://archive.org/services/search/v1/scrape,https://archive.org/about/terms.php,https://help.archive.org/help/rights/,FALSE,FALSE,PARTIAL,No provider-wide permission; item rights vary.,Public file transport is not a rights grant; require item-level review.,cursor search -> item metadata/file manifest -> bibliographic reconciliation -> rights gate,VERIFIED_2026-09-23_ARCHIVE_EVIDENCE
library_of_congress,Library of Congress,national_library,TIER2,USA,Library of Congress,https://www.loc.gov,https://www.loc.gov/collections/,https://www.loc.gov/search/,https://www.loc.gov/apis/,https://www.loc.gov/{endpoint}/?fo=json,https://www.loc.gov/apis/json-and-yaml/,https://www.loc.gov/apis/json-and-yaml/,https://www.loc.gov/legal/,https://www.loc.gov/legal/,FALSE,FALSE,TRUE_METADATA,Item rights separate from API availability.,Keep item-level rights/access statements.,JSON/YAML API + IIIF where present + rights gate,VERIFIED_2026-09-23_API_IIIF
openiti_kitab,OpenITI / KITAB Project,academic_digital_humanities_corpus,TIER1,Multi (Austria/UK-Qatar/USA),University of Vienna; Aga Khan University ISMC; University of Maryland,https://kitab-project.org,https://kitab-project.org/metadata,https://kitab-project.org/metadata,https://kitab-project.org/docs/openITI,https://github.com/OpenITI,https://zenodo.org/records/18613982,https://github.com/OpenITI/i.stylo/blob/master/OpenITI_metadata_2025-1-9.tsv,https://kitab-project.org/docs/openITI,https://kitab-project.org/docs/openITI,FALSE,FALSE,TRUE,CC BY-NC-SA 4.0; commercial use is not permitted.,Redistribution/derivatives allowed under BY-NC-SA conditions; preserve release/version provenance.,exact Zenodo release + TSV/YML metadata parse,VERIFIED_2026-09-23_OPENITI_2025.1.9
princeton_islamic_mss,Princeton University Library — Manuscripts of the Islamic World,university_library,TIER2,USA,Princeton University Library,https://dpul.princeton.edu/islamicmss,https://dpul.princeton.edu/islamicmss,https://dpul.princeton.edu/islamicmss/catalog,https://dpul.princeton.edu/public-domain/about/digital-collections-and-initiatives-at-pul,IIIF via Digital PUL / Figgy,UNVERIFIED,UNVERIFIED,UNVERIFIED,per-item Edm rights,FALSE,FALSE,PARTIAL,Sample Islamic manuscript is marked No Known Copyright; not promoted automatically to public domain.,Remote IIIF until a specific reuse basis is verified.,item -> ARK/IIIF -> rights gate,VERIFIED_2026-09-23_COLLECTION_SAMPLE
qatar_digital_library,Qatar Digital Library,national_partnership_archive,TIER2,Qatar / United Kingdom,Qatar National Library / British Library,https://www.qdl.qa,https://www.qdl.qa/en,https://www.qdl.qa/en/search,IIIF per item,https://www.qdl.qa/en/iiif/{record}/manifest,UNVERIFIED,UNVERIFIED,https://qdl.qa/en/terms-use,https://qdl.qa/en/terms-use,FALSE,FALSE,PARTIAL,"Item terms vary: OGL, Crown copyright, and unknown-copyright examples exist.",Persist exact item usage terms; IIIF is not rights clearance.,record -> IIIF -> item usage terms -> rights gate,VERIFIED_2026-09-23_TERMS_IIIF
quran_foundation_api,Quran Foundation Content & Audio API (successor to the Quran.com API),official_project,TIER1,International (Quran.com / Quran Foundation),Quran Foundation,https://quran.com,https://quran.com,https://api-docs.quran.foundation,https://api.quran.foundation (per docs),NOT_PUBLIC - credentialed API only,UNVERIFIED,https://api-docs.quran.foundation,UNVERIFIED,TRUE,TRUE,FALSE,Backend-only credentialed API (client_id/client_secret); provides chapter/verse text, translations, and audio resource URLs,Terms not independently re-verified this session - review before redistributing audio/text pulled via this API,register_developer_app_obtain_client_credentials_call_content_and_audio_apis
sunnah_com,Sunnah.com,official_hadith_project,TIER1,USA (community-run, internationally used),Sunnah.com team,https://sunnah.com,https://sunnah.com,https://sunnah.com,https://sunnah.stoplight.io/docs/api/,https://api.sunnah.com,NOT_AVAILABLE (offline dump not available yet per official developers page as of verification date),https://github.com/sunnah-com,https://sunnah.com/about,https://sunnah.com/about,TRUE,TRUE,FALSE,Official page states mass reproduction of the dataset is NOT permitted,"Explicitly: partial API access only, granted per-request via GitHub issue; full corpus dump not offered; do not bulk-scrape the website as a substitute",request_api_key_via_github_issue_then_call_documented_endpoints_with_attribution
tanzil_project,Tanzil Project (Quran text),official_project,TIER1,International (hosted project, not tied to one state),Tanzil Project,https://tanzil.net,https://tanzil.net/download/,https://tanzil.net,https://tanzil.net/docs (per download page),https://tanzil.net/download/,https://tanzil.net/download/,https://tanzil.net/docs/license,https://tanzil.net/docs/license,FALSE,FALSE,TRUE,Text may be freely copied/distributed on a non-commercial basis PROVIDED it is unmodified and complete - re-confirm exact clause wording at rights_url before shipping,Redistribution allowed only if text is kept unmodified and complete; any typographic/textual change requires separate permission per project terms,direct_bulk_download_txt_xml_sql_then_checksum_verify_unmodified,VERIFIED_2026-09-23
wikidata,Wikidata,open_knowledge_base,TIER3,International (Wikimedia Foundation),Wikimedia Foundation,https://www.wikidata.org,https://www.wikidata.org,https://query.wikidata.org,https://www.wikidata.org/wiki/Wikidata:Data_access,https://query.wikidata.org/sparql,https://dumps.wikimedia.org/wikidatawiki/entities/,https://dumps.wikimedia.org,https://creativecommons.org/publicdomain/zero/1.0/,FALSE,FALSE,TRUE,CC0 - structured data is public domain,"Freely reusable; best used for the scholar/person authority registry (VIAF, ISNI, Library of Congress and other authority-ID cross-links)",SPARQL_query_for_persons_with_occupation_Islamic_scholar_or_instance_of_hadith_narrator_etc,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION - identity/endpoint from general knowledge, mark UNVERIFIED for specific query results
wikimedia_commons,Wikimedia Commons,open_media_repository,TIER4,International (Wikimedia Foundation),Wikimedia Foundation,https://commons.wikimedia.org,https://commons.wikimedia.org,https://commons.wikimedia.org,https://www.mediawiki.org/wiki/API:Main_page,https://commons.wikimedia.org/w/api.php,https://dumps.wikimedia.org,https://dumps.wikimedia.org,Per-file license tag (many PD or CC),FALSE,FALSE,TRUE,Manuscript folio images and public-domain artwork - verify per-file tag,Good source for cover/manuscript preview images with clear per-file licensing,mediawiki_API_search_by_category_e.g._Islamic_manuscripts,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION,
wikisource_ar,Arabic Wikisource,open_text_repository,TIER4,International (Wikimedia Foundation),Wikimedia Foundation,https://ar.wikisource.org,https://ar.wikisource.org,https://ar.wikisource.org,https://www.mediawiki.org/wiki/API:Main_page,https://ar.wikisource.org/w/api.php,https://dumps.wikimedia.org,https://dumps.wikimedia.org,Mixed: CC BY-SA for transcriptions plus underlying public-domain source texts,FALSE,FALSE,TRUE,Mostly reusable but verify per-page license template,Community-transcribed classical texts - useful HTML/wikitext source but needs quality/accuracy spot-checking against a critical edition,mediawiki_API_export_by_category,NOT_INDEPENDENTLY_QUERIED_THIS_SESSION,
worldcat,WorldCat / OCLC,bibliographic_union_catalog,TIER5,Global / USA cooperative,OCLC and member libraries,https://search.worldcat.org,https://search.worldcat.org,https://search.worldcat.org,https://www.oclc.org/developer/api/oclc-apis/worldcat-search-api.en.html,https://developer.api.oclc.org/wcv2,NULL,NULL,https://www.oclc.org/developer/support/terms-and-conditions.en.html,https://www.oclc.org/en/worldcat/cooperative-quality/policy.html,TRUE_API,TRUE_WSKEY,NEEDS_PERMISSION,"Arabic Discovery Catalog reports 3,991,039 Arabic resources as of May 2026; use remains contract/policy governed.",Discovery/reconciliation only without entitlement.,manual or licensed API; OCN as reconciliation key only,VERIFIED_2026-09-23_ARCHIVE_EVIDENCE
zenodo_platform,Zenodo (CERN/OpenAIRE open research repository),repository_platform,TIER3,Switzerland (CERN-hosted, EU-funded),CERN / OpenAIRE,https://zenodo.org,https://zenodo.org/search,https://zenodo.org/search,https://developers.zenodo.org,https://zenodo.org/api,TRUE (per-record),per-record,https://zenodo.org/policies/terms,per-record license field,FALSE,FALSE,TRUE,License is set per-record by the depositor (OpenITI releases are deposited here under open access terms),Always read the specific record's own license field - Zenodo itself imposes no blanket license,use_zenodo_REST_API_to_search_for_additional_Islamic-studies_datasets_beyond_OpenITI
